task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	4c/e5c84f	467950	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:SEQKIT_SPLIT ($ref_fasta)	COMPLETED	0	2025-08-13 14:07:07.873	3.9s	165ms	39.6%	9.2 MB	1.2 GB	311.5 KB	21.1 KB
4	50/bb3d87	467953	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007358.1_cds_YP_473348.1_3)	COMPLETED	0	2025-08-13 14:07:16.861	1m 30s	1m 27s	596.5%	20 MB	489.1 MB	122.1 MB	27.9 MB
14	28/17c075	467963	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:REMOVEAMBIGSEQS (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007358.1_cds_YP_473348.1_3)	COMPLETED	0	2025-08-13 14:08:46.817	5s	1s	70.9%	11 MB	21.6 MB	34.4 MB	3.5 MB
10	f4/195fd8	467958	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007363.1_cds_YP_308670.1_9)	COMPLETED	0	2025-08-13 14:07:31.860	1m 35s	1m 34s	596.3%	21 MB	532.1 MB	122.1 MB	29.3 MB
15	4b/b35785	467964	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:HYPHY_CLN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007358.1_cds_YP_473348.1_3)	COMPLETED	0	2025-08-13 14:08:51.811	15s	11.6s	91.7%	36 MB	49.1 MB	4 MB	1.7 MB
16	9a/43d688	467965	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:REMOVEAMBIGSEQS (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007363.1_cds_YP_308670.1_9)	COMPLETED	0	2025-08-13 14:09:06.820	5s	826ms	83.5%	27 MB	39.7 MB	35.8 MB	3.8 MB
18	5b/8e1d86	467967	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:HYPHY_CLN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007363.1_cds_YP_308670.1_9)	COMPLETED	0	2025-08-13 14:09:11.819	15s	12.1s	91.9%	36 MB	49.5 MB	4.3 MB	1.6 MB
12	28/03d773	467962	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007364.1_cds_YP_308672.1_11)	COMPLETED	0	2025-08-13 14:07:43.860	1m 58s	1m 57s	596.2%	25 MB	524.7 MB	122.1 MB	34.2 MB
20	5c/8a1ffe	467969	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:REMOVEAMBIGSEQS (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007364.1_cds_YP_308672.1_11)	COMPLETED	0	2025-08-13 14:09:41.808	5s	847ms	85.0%	27 MB	39.7 MB	40.6 MB	4.5 MB
21	01/3278ba	467970	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:HYPHY_CLN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007364.1_cds_YP_308672.1_11)	COMPLETED	0	2025-08-13 14:09:46.811	15s	14.1s	92.0%	39 MB	52 MB	5 MB	2 MB
13	39/a3b013	467952	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007364.1_cds_YP_308673.1_12)	COMPLETED	0	2025-08-13 14:07:13.863	3m 43s	3m 42s	597.6%	43 MB	532.1 MB	122.1 MB	56.2 MB
