task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	b3/2091f8	443609	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:SEQKIT_SPLIT ($ref_fasta)	COMPLETED	0	2025-08-05 16:37:55.312	4s	108ms	41.2%	2 MB	3.9 MB	312.8 KB	21.1 KB
3	f3/598e42	443611	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007358.1_cds_YP_308665.1_2)	COMPLETED	0	2025-08-05 16:38:01.343	7.9s	6.3s	588.4%	120.8 MB	532.1 MB	1.3 MB	1.4 MB
12	d3/bc6d05	443612	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007364.1_cds_YP_308672.1_11)	COMPLETED	0	2025-08-05 16:38:04.340	4.9s	1s	570.2%	23 MB	532.1 MB	1.3 MB	299.1 KB
8	76/549cde	443610	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007361.1_cds_YP_308668.1_8)	COMPLETED	0	2025-08-05 16:37:59.344	9.9s	3.9s	586.8%	77 MB	532.1 MB	1.3 MB	910.8 KB
11	5f/1f3f2e	443613	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007363.1_cds_YP_308671.1_10)	COMPLETED	0	2025-08-05 16:38:07.340	6.9s	2.1s	577.9%	43 MB	532.1 MB	1.3 MB	529.4 KB
9	a4/b38736	443614	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007362.1_cds_YP_308669.1_6)	COMPLETED	0	2025-08-05 16:38:10.341	8.9s	4.7s	588.7%	91.1 MB	532.1 MB	1.3 MB	1.1 MB
2	1e/c294ea	443615	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007357.1_cds_YP_308664.1_1)	COMPLETED	0	2025-08-05 16:38:13.341	10.9s	6.3s	588.6%	122.5 MB	532.1 MB	1.3 MB	1.4 MB
5	b9/586f73	443616	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007359.1_cds_YP_006495800.1_5)	COMPLETED	0	2025-08-05 16:38:16.339	7.9s	2.1s	581.5%	43.1 MB	534.3 MB	1.3 MB	529.4 KB
7	28/2a0b34	443617	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007360.1_cds_YP_308667.1_7)	COMPLETED	0	2025-08-05 16:38:19.340	4.9s	4.2s	584.5%	82 MB	532.1 MB	1.3 MB	961.8 KB
4	5f/929b8b	443618	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007358.1_cds_YP_473348.1_3)	COMPLETED	0	2025-08-05 16:38:22.341	6.9s	775ms	567.5%	18 MB	532.1 MB	1.3 MB	244.6 KB
13	2f/977e3d	443619	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007364.1_cds_YP_308673.1_12)	COMPLETED	0	2025-08-05 16:38:25.340	3.9s	1.9s	582.5%	39.1 MB	532.1 MB	1.3 MB	490.7 KB
10	e7/efed0e	443620	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007363.1_cds_YP_308670.1_9)	COMPLETED	0	2025-08-05 16:38:28.341	5.9s	833ms	570.1%	17 MB	532.1 MB	1.3 MB	256.9 KB
14	cf/f0321c	443622	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:REMOVEAMBIGSEQS (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007358.1_cds_YP_308665.1_2)	COMPLETED	0	2025-08-05 16:38:34.340	4.9s	439ms	66.8%	20 MB	31.7 MB	7.9 MB	181.3 KB
6	2f/2761ab	443621	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:CAWLIGN (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007359.1_cds_YP_308666.1_4)	COMPLETED	0	2025-08-05 16:38:31.340	12.9s	5.9s	588.6%	114.7 MB	532.1 MB	1.3 MB	1.3 MB
15	23/ff292a	443623	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:REMOVEAMBIGSEQS (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007364.1_cds_YP_308672.1_11)	COMPLETED	0	2025-08-05 16:38:37.340	6.9s	378ms	74.8%	36 MB	105.9 MB	6.8 MB	40.3 KB
16	fd/b7c3a8	443624	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:REMOVEAMBIGSEQS (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007361.1_cds_YP_308668.1_8)	COMPLETED	0	2025-08-05 16:38:40.341	3.9s	377ms	72.3%	35 MB	105.9 MB	7.4 MB	114.7 KB
18	c6/bf8860	443626	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:REMOVEAMBIGSEQS (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007362.1_cds_YP_308669.1_6)	COMPLETED	0	2025-08-05 16:38:46.339	2.9s	378ms	72.3%	35 MB	105.9 MB	7.5 MB	136.8 KB
