task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
58	43/1da8c0	468041	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_PRIME (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007363.1_cds_YP_308670.1_9)	COMPLETED	0	2025-08-13 16:44:36.971	3h 33m 44s	3h 33m 37s	438.2%	225.8 MB	661.9 MB	1.8 MB	6.7 MB
64	f9/e8ec46	468048	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_PRIME (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007359.1_cds_YP_006495800.1_5)	FAILED	140	2025-08-13 16:44:57.971	3h 59m 3s	3h 59m 1s	-	-	-	-	-
59	ca/71c143	468044	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_BUSTED (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007359.1_cds_YP_006495800.1_5)	FAILED	140	2025-08-13 16:44:45.971	3h 59m 15s	3h 59m 11s	-	-	-	-	-
63	6c/1aa7bf	468047	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_RELAX (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007359.1_cds_YP_006495800.1_5)	FAILED	140	2025-08-13 16:44:54.971	3h 59m 6s	3h 59m 1s	-	-	-	-	-
56	92/b4a200	468042	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_RELAX (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007363.1_cds_YP_308670.1_9)	FAILED	140	2025-08-13 16:44:39.972	3h 59m 21s	3h 59m 16s	-	-	-	-	-
71	bb/95c8f9	468053	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_BUSTED (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007364.1_cds_YP_308673.1_12)	FAILED	140	2025-08-13 16:45:12.970	3h 59m 18s	3h 59m 16s	-	-	-	-	-
69	60/4192a1	468055	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_RELAX (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007364.1_cds_YP_308673.1_12)	FAILED	140	2025-08-13 16:45:18.972	3h 59m 12s	3h 59m 6s	-	-	-	-	-
67	c0/24c307	468051	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_PRIME (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007364.1_cds_YP_308673.1_12)	FAILED	140	2025-08-13 16:45:06.971	3h 59m 24s	3h 59m 21s	-	-	-	-	-
78	3d/eaa8fa	468058	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_PRIME (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007364.1_cds_YP_308672.1_11)	FAILED	140	2025-08-13 16:45:27.970	3h 59m 3s	3h 59m 1s	-	-	-	-	-
73	c7/427f87	468056	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_BUSTED (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007364.1_cds_YP_308672.1_11)	FAILED	140	2025-08-13 16:45:21.970	3h 59m 9s	3h 59m 6s	-	-	-	-	-
79	32/7bfafa	468061	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_PRIME (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007358.1_cds_YP_473348.1_3)	FAILED	140	2025-08-13 16:45:36.970	3h 59m 24s	3h 59m 21s	-	-	-	-	-
74	01/775c18	468059	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_RELAX (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007364.1_cds_YP_308672.1_11)	FAILED	140	2025-08-13 16:45:30.971	3h 59m 30s	3h 59m 26s	-	-	-	-	-
40	8c/f8b7cb	468037	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:IQTREE (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007363.1_cds_YP_308671.1_10)	COMPLETED	0	2025-08-13 16:44:24.973	4h 59m 1s	4h 58m 59s	100.2%	301.8 MB	645.1 MB	2.4 MB	208 MB
103	09/82ab54	468081	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:HYPHY_LABELTREE_REGEXP (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007363.1_cds_YP_308671.1_10)	COMPLETED	0	2025-08-13 21:43:26.266	5s	586ms	97.7%	12 MB	24.6 MB	1.1 MB	358.5 KB
42	33/9cb577	468038	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:IQTREE (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007359.1_cds_YP_308666.1_4)	COMPLETED	0	2025-08-13 16:44:27.974	5h 37m 23s	5h 37m 17s	165.4%	1.7 GB	2 GB	10.3 MB	443.6 MB
110	f3/9ea8ec	468088	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:HYPHY_LABELTREE_REGEXP (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007359.1_cds_YP_308666.1_4)	COMPLETED	0	2025-08-13 22:21:51.352	5s	1.1s	99.4%	12 MB	25.3 MB	1.4 MB	762 KB
91	53/399370	468064	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_FEL (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007360.1_cds_YP_308667.1_7)	COMPLETED	0	2025-08-13 19:50:16.037	2h 43m	2h 42m 59s	530.4%	791.5 MB	1.5 GB	6.9 MB	24.9 MB
43	ac/a01a8e	468035	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:IQTREE (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007361.1_cds_YP_308668.1_8)	COMPLETED	0	2025-08-13 16:44:18.981	5h 51m 2s	5h 51m	156.9%	1.2 GB	1.6 GB	6.8 MB	399 MB
117	ce/56b935	468095	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:HYPHY_LABELTREE_REGEXP (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007361.1_cds_YP_308668.1_8)	COMPLETED	0	2025-08-13 22:35:21.399	4.9s	972ms	98.9%	2 MB	3.9 MB	1.3 MB	637.3 KB
41	e3/33d44c	468040	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:IQTREE (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007357.1_cds_YP_308664.1_1)	COMPLETED	0	2025-08-13 16:44:33.973	5h 57m 27s	5h 57m 26s	166.6%	1.8 GB	2.1 GB	10.8 MB	449.5 MB
124	17/30d0a2	468102	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:HYPHY_LABELTREE_REGEXP (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007357.1_cds_YP_308664.1_1)	COMPLETED	0	2025-08-13 22:42:01.408	5s	1s	99.9%	2 MB	3.9 MB	1.4 MB	652.1 KB
109	81/0e6d53	468087	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_MEME (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007363.1_cds_YP_308671.1_10)	COMPLETED	0	2025-08-13 21:43:45.247	1h 17m 16s	1h 17m 11s	437.6%	657.5 MB	1.5 GB	3.4 MB	16.7 MB
106	e8/38f2a9	468086	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_FEL (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007363.1_cds_YP_308671.1_10)	COMPLETED	0	2025-08-13 21:43:42.246	1h 22m 19s	1h 22m 14s	341.9%	387.3 MB	1.8 GB	3.3 MB	14.4 MB
99	40/511791	468077	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_BUSTED (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007364.1_cds_YP_308672.1_11)	COMPLETED	0	2025-08-13 20:44:39.109	3h 2m 42s	3h 2m 39s	435.6%	4.5 GB	5.1 GB	2.3 MB	11.1 MB
